Location name,Amount spent (USD)
Alabama,8291
Alaska,2242
American Samoa,≤100
Arizona,22700
Arkansas,5050
California,67939
Colorado,9840
Connecticut,7738
Delaware,1709
Florida,48400
Georgia,23692
Guam,≤100
Hawaii,1717
Idaho,6218
Illinois,42124
Indiana,17363
Iowa,6487
Kansas,8249
Kentucky,8658
Louisiana,8818
Maine,5290
Maryland,13003
Massachusetts,11166
Michigan,25526
Minnesota,13409
Mississippi,5613
Missouri,13018
Montana,3208
Nebraska,3128
Nevada,7279
New Hampshire,3213
New Jersey,17245
New Mexico,6242
New York,41953
North Carolina,19782
North Dakota,1206
Northern Mariana Islands,≤100
Ohio,20608
Oklahoma,10820
Oregon,8302
Pennsylvania,29558
Puerto Rico,≤100
Rhode Island,1678
South Carolina,9574
South Dakota,1417
Tennessee,14810
Texas,51193
Unknown,≤100
Utah,4911
Vermont,1717
Virgin Islands (U.S.),≤100
Virginia,25816
Washington,12931
"Washington, District of Columbia",9089
West Virginia,4137
Wisconsin,33287
Wyoming,1123
