Location name,Amount spent (HUF)
Baranya County,162542
Borsod-Abaúj-Zemplén County,215872
Budapest,1030838
Bács-Kiskun County,197514
Békés County,132625
Csongrád County,179638
Fejér County,203733
Győr-Moson-Sopron County,195840
Hajdú-Bihar County,189383
Heves County,160727
Jász-Nagykun-Szolnok County,132080
Komárom-Esztergom County,157113
Nógrád County,70895
Pest County,469449
Somogy County,114405
Szabolcs-Szatmár-Bereg County,170173
Tolna County,88488
Unknown,1630
Vas County,111060
Veszprém County,127356
Zala County,116613
