Location name,Amount spent (LBP)
Beirut Governorate,2567138
Beqaa Governorate,731343
Mount Lebanon Governorate,1313433
Nabatieh Governorate,328358
North Governorate,1051026
South Governorate,479847
Unknown,≤100
