Location name,Amount spent (RON)
Alba County,982
Arad County,1164
Argeș County,1503
Bacău County,1685
Bihor County,1627
Bistrița-Năsăud County,731
Botoșani County,1066
Brașov County,1861
Brăila County,735
Bucharest,7120
Buzău County,1010
Caraș-Severin County,729
Cluj County,2382
Constanța County,2215
Covasna County,588
Călărași County,499
Dolj County,1378
Dâmbovița County,1157
Galați County,1294
Giurgiu County,468
Gorj County,838
Harghita County,1020
Hunedoara County,1140
Ialomița County,536
Iași County,2935
Ilfov County,1060
Maramureș County,1212
Mehedinți County,537
Mureș County,1888
Neamț County,1331
Olt County,741
Prahova County,2336
Satu Mare County,847
Sibiu County,1210
Suceava County,1925
Sălaj County,646
Teleorman County,554
Timiș County,2169
Tulcea County,483
Unknown,≤100
Vaslui County,940
Vrancea County,1232
Vâlcea County,1180
