Location name,Amount spent (HUF)
Baranya County,124125
Borsod-Abaúj-Zemplén County,138208
Budapest,639082
Bács-Kiskun County,116390
Békés County,88153
Csongrád County,117181
Fejér County,122811
Győr-Moson-Sopron County,147791
Hajdú-Bihar County,121455
Heves County,152510
Jász-Nagykun-Szolnok County,84711
Komárom-Esztergom County,76013
Nógrád County,47255
Pest County,286503
Somogy County,75533
Szabolcs-Szatmár-Bereg County,106296
Tolna County,69955
Unknown,≤100
Vas County,62648
Veszprém County,83576
Zala County,77639
