Page ID,Page name,Disclaimer,Amount spent (ILS),Number of ads in Library
124395890927240,הקרן החדשה לישראל,הקרן החדשה לישראל,539,35
103563939372367,ברק סרי - Barak Seri,ברק סרי - Barak Seri,530,3
1510157982620509,הלן גלבר - Helen Gelber,הלן גלבר - Helen Gelber,530,14
190032861033009,השומר החדש,השומר החדש,506,1
112848572066805,מחאת ההייטק,מחאת ההייטק,486,6
112779795076593,שי יזרעאלי - לראשות המועצה האזורית עמק יזרעאל,שי יזרעאלי - לראשות המועצה האזורית עמק יזרעאל,484,6
117177111377152,Шломи Лахьяни,שלומי לחיאני,482,1
979469898759509,יוסי חביליו - Yosi Havilio,יוסי חביליו - Yosi Havilio,432,12
502039876516834,משרד המשפטים,משרד המשפטים,428,1
109242871232111,מתן בארי,מתן בארי,407,4
119840381061499,אוהד שגב,אוהד שגב,400,2
303720457847,לשכת רואי חשבון בישראל,לשכת רואי חשבון בישראל,385,4
249479152534875,Kfir Swisa - כפיר סויסה,Kfir Swisa - כפיר סויסה,375,4
138399090105076,הבנק החברתי למזון תינוקות,הבנק החברתי למזון תינוקות,366,2
197861515565,שתיל - شتيل - Shatil,שתיל - Shatil,359,8
615531405455497,הדר לביא,הדר לביא,351,12
1761541744120701,הטרקלין - המרחב של צעירי גבעתיים,הטרקלין - המרחב של צעירי גבעתיים,337,2
104404418153739,דנית ברביבאי,דנית ברביבאי,320,3
44385426513,Greenpeace Israel   - גרינפיס ישראל,Greenpeace Israel   - גרינפיס ישראל,315,6
166161510917460,קובי אביבי ראש המועצה האזורית באר טוביה,קובי אביבי ראש המועצה האזורית באר טוביה,311,4
128834187134576,Ahmad Tibi احمد طيبي,Ahmad Tibi احمد طيبي,311,2
1828669360700280,דרך שירה בנקי - shira banki's way,Shira Banki's Way - דרך שירה בנקי,302,9
1372218169585611,"איתי מתיתיהו - סגן ראש עיריית ראשון לציון, מחזיק תיק הצעירים והנוער",helpapp - הדרך הקלה להתנדבות,300,1
171948013605622,יצחק מירון תנופה לעפולה,יצחק מירון תנופה לעפולה,300,1
189543984502825,משה קונינסקי,משה קונינסקי,289,3
205153712969285,מרצ רמת גן,מרצ רמת גן,281,3
100978407934166,תנועה ישראלית,Israeli Movement,279,13
1514952655390958,משרד תומר ורשה - עורכי דין • הגירה והסדרת מעמד • אשרות בישראל • זכויות אדם,"משרד עו""ד תומר ורשה",279,9
622545034511462,נשים עושות שלום - نساء يصنعن السلام  - Women Wage Peace,נשים עושות שלום - نساء يصنعن السلام  - Women Wage Peace,275,3
111919847028684,שומרים - המרכז לתקשורת ודמוקרטיה,שומרים - המרכז לתקשורת ודמוקרטיה,271,3
102608244574256,Nas Radio - راديو الناس,Nas Radio - راديو الناس,267,1
105907482438233,שלומית שיחור רייכמן לראשות מ.א. עמק יזרעאל,שלומית שיחור רייכמן לראשות מ.א. עמק יזרעאל,262,2
107183948143,משרד התקשורת,Ministry of Communications,261,1
500238833397356,ציפי ברנד,ציפי ברנד,259,19
112169951926386,אלון רוזן,אלון רוזן,255,1
1484712825147171,Tomer Warsha Adv • Immigration to Israel • Aliya • Immigrants • Citizenship,"משרד עו""ד תומר ורשה",252,12
638721842824344,עליזה בלוך,עליזה בלוך,250,9
310624629402758,מורן ישראל,מורן ישראל,250,3
102524746200583,רחמים מלול - ראש עיריית רחובות,רחמים מלול,247,5
212508465430143,מען ארגון עובדים  معًا - نقابة عمالية MAAN Workers Association,WAC-MAAN,246,4
103185328887035,דניאל ליזרוביץ',דניאל ליזרוביץ',237,2
401687276639883,רז קינסטליך - ראש עיריית ראשון לציון,"רז קינסטליך- בחירות לראשות עיריית ראשל""צ",235,3
113257552029689,Israel Police - משטרת ישראל,Israel Police,233,1
649373828424341,Moshe Lion - משה ליאון,Moshe Lion - משה ליאון,231,3
130311209971965,יצחק קשת - ראש העיר שלי,יצחק קשת,229,2
562900707171914,ליעד אילני לראשות עיריית רמת-גן,סיעת רמת-גן שלנו,229,1
103497915119804,מיכל וולדיגר,מיכל וולדיגר,226,2
182055351857379,"שח""ם - ארגון השחקנים והשחקניות בישראל","שח""ם - ארגון השחקנים בישראל",217,1
143563882388180,עיריית אשקלון,עיריית אשקלון,216,3
128753804569169,"עו""ד רחל פרץ גלם לראשות המועצה האזורית באר טוביה","עו""ד רחל פרץ גלם לראשות המועצה האזורית באר טוביה",214,2
280542409315,יד יצחק בן-צבי,יד יצחק בן-צבי,212,5
147314178787332,אלי יריב - Eli Yariv,אלי יריב - Eli Yariv,212,5
110927093853286,رئيس مجلس عبلين المحلي : مأمون الشيخ,رئيس مجلس عبلين المحلي : مأمون الشيخ,212,5
224993517556428,Da'am Party - מפלגת דעם - حزب دعم,Da'am Party - מפלגת דעם - حزب دعم,208,4
101499376186375,עפרי רביב,עפרי רביב,205,11
429184557235927,בצלאל סמוטריץ',בצלאל סמוטריץ,204,3
160119221434385,דוד עציוני -ראש העיר חיפה,דוד עציוני -ראש העיר חיפה,201,1
284842737603,Yesh Din  ييش دين  יש דין,יש דין ארגון מתנדבים לזכויות אדם,198,7
525508244192924,אלי לנקרי - Eli Lankri,אלי לנקרי - Eli Lankri,197,4
218832864804823,הקריה האקדמית אונו - מינהל הציונות הדתית,הקריה האקדמית אונו - מנהל הציונות הדתית,196,3
877405719007268,מכון ארגמן - Argaman Institute,מכון ארגמן,196,15
