Location name,Amount spent (USD)
Azuay Province,1005
Bolívar Province,118
Carchi Province,≤100
Cañar Province,220
Chimborazo Province,828
Cotopaxi Province,268
El Oro Province,1354
Esmeraldas Province,487
Galápagos Province,≤100
Guayas Province,4006
Imbabura Province,444
Loja Province,435
Los Ríos Province,1194
Manabí Province,1802
Morona-Santiago Province,126
Napo Province,≤100
Orellana Province,145
Pastaza Province,136
Pichincha Province,2199
Santa Elena Province,345
Santo Domingo de los Tsáchilas Province,1532
Sucumbíos Province,194
Tungurahua Province,479
Unknown,≤100
Zamora-Chinchipe Province,≤100
