Location name,Amount spent (DKK)
Capital Region of Denmark,37509
Central Denmark Region,20662
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,9767
Region of Southern Denmark,18585
Unknown,≤100
Zealand Region,12366
