Location name,Amount spent (PHP)
Autonomous Region in Muslim Mindanao,899
Bicol Region,15973
Cagayan Valley,4122
Calabarzon,27931
Caraga,3789
Central Luzon,15841
Central Visayas,15658
Cordillera Administrative Region,2367
Davao Region,6609
Eastern Visayas,4909
Ilocos Region,7406
Metro Manila,39067
Mimaropa,2761
Northern Mindanao,6323
Soccsksargen,4465
Unknown,≤100
Western Visayas,12111
Zamboanga Peninsula,3474
