Location name,Amount spent (UYU)
Artigas Department,181
Canelones Department,855
Cerro Largo Department,216
Colonia Department,407
Durazno Department,130
Flores Department,≤100
Florida Department,157
Lavalleja Department,138
Maldonado Department,403
Montevideo Department,4488
Paysandú Department,320
Rivera Department,748
Rocha Department,150
Río Negro Department,136
Salto Department,403
San José Department,191
Soriano Department,197
Tacuarembó Department,210
Treinta y Tres Department,154
Unknown,≤100
