Location name,Amount spent (IDR)
Aceh,1921727
Bali,2431282
Bangka–Belitung Islands,405887
Banten,2598628
Bengkulu,677959
Central Java,14315651
Central Kalimantan,624517
Central Sulawesi,1552411
East Java,7173326
East Kalimantan,1157382
East Nusa Tenggara,2366424
Gorontalo,1364617
Jakarta,6175164
Jambi,810478
Lampung,2385749
Maluku,605207
North Kalimantan,188246
North Maluku,349623
North Sulawesi,1401090
North Sumatra,5591851
Papua (province),925209
Riau,2036817
Riau Islands Province,733038
South Kalimantan,1463303
South Sulawesi,2045428
South Sumatra,2768348
Southeast Sulawesi,1385648
Special Region of Yogyakarta,1262181
Unknown,5315
West Java,12415672
West Kalimantan,2026158
West Nusa Tenggara,2212563
West Papua,322003
West Sulawesi,290519
West Sumatra,1864504
