Location name,Amount spent (GTQ)
Alta Verapaz Department,269
Baja Verapaz Department,≤100
Chimaltenango Department,120
Chiquimula Department,≤100
El Progreso Department,≤100
Escuintla Department,162
Guatemala Department,3511
Huehuetenango Department,≤100
Izabal Department,≤100
Jalapa Department,≤100
Jutiapa Department,≤100
Petén Department,≤100
Quetzaltenango Department,230
Quiché Department,193
Retalhuleu Department,≤100
Sacatepéquez Department,130
San Marcos Department,410
Santa Rosa Department,≤100
Sololá Department,≤100
Suchitepéquez Department,188
Totonicapán Department,≤100
Zacapa Department,≤100
