Location name,Amount spent (DKK)
Capital Region of Denmark,24777
Central Denmark Region,12536
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,5353
Region of Southern Denmark,11444
Unknown,≤100
Zealand Region,7784
