Location name,Amount spent (JPY)
Aichi Prefecture,56239
Akita Prefecture,1999
Aomori Prefecture,2378
Chiba Prefecture,19536
Ehime Prefecture,3158
Fukui Prefecture,1753
Fukuoka Prefecture,43697
Fukushima Prefecture,3268
Gifu Prefecture,4512
Gunma Prefecture,3818
Hiroshima Prefecture,6850
Hokkaido,11110
Hyōgo Prefecture,17196
Ibaraki Prefecture,6302
Ishikawa Prefecture,2801
Iwate Prefecture,2090
Kagawa Prefecture,2647
Kagoshima Prefecture,2675
Kanagawa Prefecture,43446
Kumamoto Prefecture,5458
Kyoto Prefecture,10816
Kōchi Prefecture,1259
Mie Prefecture,4225
Miyagi Prefecture,12156
Miyazaki Prefecture,2162
Nagano Prefecture,6918
Nagasaki Prefecture,5011
Nara Prefecture,3705
Niigata Prefecture,4111
Okayama Prefecture,5172
Okinawa Prefecture,6870
Osaka Prefecture,34502
Saga Prefecture,16641
Saitama Prefecture,18505
Shiga Prefecture,3877
Shimane Prefecture,2642
Shizuoka Prefecture,11639
Tochigi Prefecture,3771
Tokushima Prefecture,1544
Tokyo,116991
Tottori Prefecture,950
Toyama Prefecture,2153
Unknown,≤100
Wakayama Prefecture,2035
Yamagata Prefecture,1925
Yamaguchi Prefecture,2430
Yamanashi Prefecture,2255
Ōita Prefecture,5253
