Location name,Amount spent (CAD)
Alberta,6821
British Columbia,9674
Manitoba,2751
New Brunswick,937
Newfoundland and Labrador,431
Northwest Territories,≤100
Nova Scotia,996
Nunavut,≤100
Ontario,14077
Prince Edward Island,130
Quebec,9277
Saskatchewan,1509
Unknown,≤100
Yukon,≤100
