Location name,Amount spent (INR)
Andaman and Nicobar Islands,746
Andhra Pradesh,59584
Arunachal Pradesh,4015
Assam,44590
Bihar,182531
Chandigarh,5453
Chhattisgarh,65290
Dadra and Nagar Haveli,2571
Delhi,75871
Goa,4632
Gujarat,114646
Haryana,80082
Himachal Pradesh,27739
Jammu and Kashmir,40963
Jharkhand,58483
Karnataka,171910
Kerala,45903
Lakshadweep,≤100
Madhya Pradesh,146690
Maharashtra,313950
Manipur,5895
Meghalaya,163275
Mizoram,2252
Nagaland,4446
Odisha,55507
Puducherry,4051
Punjab region,80407
Rajasthan,203254
Sikkim,2778
Tamil Nadu,88191
Telangana,57929
Tripura,101535
Unknown,≤100
Uttar Pradesh,351252
Uttarakhand,36204
West Bengal,132206
