Location name,Amount spent (NOK)
Akershus,2274
Aust-Agder,359
Buskerud,965
Finnmark,313
Hedmark,699
Hordaland,2082
Møre og Romsdal,948
Nord-Trøndelag,452
Nordland,894
Oppland,685
Oslo,4449
Rogaland,1735
Sogn og Fjordane,368
Sør-Trøndelag,1275
Telemark,560
Troms,710
Unknown,≤100
Vest-Agder,833
Vestfold,883
Østfold,997
