Location name,Amount spent (EUR)
Blagoevgrad Province,338
Burgas Province,437
Dobrich Province,209
Gabrovo Province,105
Haskovo Province,198
Kardzhali Province,111
Kyustendil Province,106
Lovech Province,≤100
Montana Province,101
Pazardzhik Province,246
Pernik Province,118
Pleven Province,236
Plovdiv Province,743
Razgrad Province,191
Ruse Province,232
Shumen Province,133
Silistra Province,≤100
Sliven Province,219
Smolyan Province,≤100
Sofia City Province,1843
Sofia Province,183
Stara Zagora Province,376
Targovishte Province,112
Unknown,≤100
Varna Province,547
Veliko Tarnovo Province,270
Vidin Province,≤100
Vratsa Province,169
Yambol Province,117
