Location name,Amount spent (IDR)
Aceh,3446869
Bali,3313229
Bangka–Belitung Islands,565550
Banten,4707060
Bengkulu,1045502
Central Java,24352007
Central Kalimantan,1034618
Central Sulawesi,2627350
East Java,22414163
East Kalimantan,3176933
East Nusa Tenggara,4923459
Gorontalo,2311672
Jakarta,22706577
Jambi,2430656
Lampung,5230106
Maluku,1883327
North Kalimantan,615786
North Maluku,651232
North Sulawesi,3580896
North Sumatra,10361640
Papua (province),973257
Riau,3448585
Riau Islands Province,1372889
South Kalimantan,2422785
South Sulawesi,7548127
South Sumatra,5737136
Southeast Sulawesi,2308253
Special Region of Yogyakarta,2976395
Unknown,20749
West Java,22331295
West Kalimantan,2999619
West Nusa Tenggara,4330431
West Papua,486286
West Sulawesi,596115
West Sumatra,3092844
