Location name,Amount spent (INR)
Andaman and Nicobar Islands,138
Andhra Pradesh,111697
Arunachal Pradesh,1047
Assam,12518
Bihar,29155
Chandigarh,1668
Chhattisgarh,71831
Dadra and Nagar Haveli,651
Delhi,49870
Goa,2900
Gujarat,47146
Haryana,36511
Himachal Pradesh,9538
Jammu and Kashmir,5172
Jharkhand,12105
Karnataka,49932
Kerala,10676
Lakshadweep,≤100
Madhya Pradesh,253762
Maharashtra,157908
Manipur,127
Meghalaya,585
Mizoram,2883
Nagaland,501
Odisha,9146
Puducherry,1960
Punjab region,25327
Rajasthan,125499
Sikkim,1244
Tamil Nadu,62471
Telangana,68271
Tripura,1535
Unknown,≤100
Uttar Pradesh,91106
Uttarakhand,10227
West Bengal,86459
