Location name,Amount spent (JPY)
Aichi Prefecture,25467
Akita Prefecture,1952
Aomori Prefecture,2887
Chiba Prefecture,21455
Ehime Prefecture,3172
Fukui Prefecture,2692
Fukuoka Prefecture,43439
Fukushima Prefecture,4249
Gifu Prefecture,5680
Gunma Prefecture,4745
Hiroshima Prefecture,12099
Hokkaido,18169
Hyōgo Prefecture,19577
Ibaraki Prefecture,7178
Ishikawa Prefecture,3831
Iwate Prefecture,2450
Kagawa Prefecture,3125
Kagoshima Prefecture,4126
Kanagawa Prefecture,43963
Kumamoto Prefecture,5937
Kyoto Prefecture,11871
Kōchi Prefecture,1592
Mie Prefecture,6453
Miyagi Prefecture,11568
Miyazaki Prefecture,3147
Nagano Prefecture,5831
Nagasaki Prefecture,4116
Nara Prefecture,4223
Niigata Prefecture,5983
Okayama Prefecture,5404
Okinawa Prefecture,4230
Osaka Prefecture,34947
Saga Prefecture,3591
Saitama Prefecture,21516
Shiga Prefecture,4647
Shimane Prefecture,1833
Shizuoka Prefecture,10822
Tochigi Prefecture,6374
Tokushima Prefecture,1839
Tokyo,90318
Tottori Prefecture,1318
Toyama Prefecture,2796
Unknown,139
Wakayama Prefecture,2441
Yamagata Prefecture,3355
Yamaguchi Prefecture,3794
Yamanashi Prefecture,2961
Ōita Prefecture,4156
