Location name,Amount spent (ZAR)
Eastern Cape,1438
Free State,893
Gauteng,7955
KwaZulu-Natal,1865
Limpopo,986
Mpumalanga,950
North West,595
Northern Cape,400
Unknown,≤100
Western Cape,21110
