Page ID,Page name,Disclaimer,Amount spent (HUF),Number of ads in Library
178362315106,European Parliament,European Parliament,165819,9
169599166463839,Demokratikus Koalíció,Demokratikus Koalíció,142603,10
543788999005363,ORIGO,Mediaworks Hungary Zrt.,76520,10
248172631940,Mandiner,Mediaworks Hungary Zrt.,62347,11
592204747588011,Momentum Mozgalom,Momentum Mozgalom,54757,15
331580946799,Borsonline - Bors Szórakoztató Napilap,Borsonline - Bors Szórakoztató Napilap,51986,7
594088897289853,Alapjogokért Központ,Alapjogokért Központ,48659,16
264517713636590,PestiSracok.hu,PestiSrácok.hu,42886,9
110462711892232,DK TV,Demokratikus Koalíció,36026,5
109414841321682,Magyar Falu Program,Magyar Falu Program,33077,3
109503892404998,Világgazdaság,Mediaworks Hungary Zrt.,32798,6
326635018181862,Magyar Nemzet,Mediaworks Hungary Zrt.,28333,6
1534911313439123,Ripost,Ripost,27837,4
47198507012,LMP - Magyarország Zöld Pártja,LMP - Magyarország Zöld Pártja,26197,3
1122781531137859,Ellenszél,Ellenszél,26087,1
506348326210466,Ungár Péter,LMP - Magyarország Zöld Pártja,25336,4
108346693873484,Győrffy Balázs,Balazs Gyorffy,25289,3
1461534750733248,Schmuck Erzsébet,LMP - Lehet Más a Politika,23837,3
447204268797621,RTL.hu,RTL.HU,22967,1
187301974635606,Gyurcsány Ferenc,Demokratikus Koalíció,22595,4
1880809845328535,Dobrev Klára,Demokratikus Koalíció,21896,2
289633770813,UNICEF Magyarország,UNICEF Magyar Bizottság Alapítvány,20352,57
103294948505659,Szánthó Miklós,Szánthó Miklós – Alapjogokért Központ,18561,11
193944440638410,Karácsony Gergely,Budapest Főváros Önkormányzat,16237,4
131283758531,HVG,HVG Kiadó ZRt.,16072,10
1944720419101498,Dr. Lévai István Zoltán,Dr. Lévai István Zoltán,14837,2
143151351544,Színházi Olimpia 2023 / Theatre Olympics 2023,Szinházi Olimpia Nonprofit Kft.,14786,7
851784814892644,Simicskó István,KDNP frakció,14363,2
101028767982783,Ne dolgozz ingyen,PDSZ - Pedagógusok Demokratikus Szakszervezete,14090,7
345496092135627,Hír TV,Mediaworks Hungary Zrt.,13469,3
451844608304228,Metropol,Metropol,13452,3
