Location name,Amount spent (ZAR)
Eastern Cape,1082
Free State,716
Gauteng,4415
KwaZulu-Natal,1595
Limpopo,523
Mpumalanga,633
North West,489
Northern Cape,174
Unknown,≤100
Western Cape,9543
