Location name,Amount spent (GTQ)
Alta Verapaz Department,3818
Baja Verapaz Department,1510
Chimaltenango Department,3989
Chiquimula Department,2704
El Progreso Department,1244
Escuintla Department,5330
Guatemala Department,73011
Huehuetenango Department,5575
Izabal Department,3558
Jalapa Department,1657
Jutiapa Department,3021
Petén Department,4138
Quetzaltenango Department,7836
Quiché Department,4213
Retalhuleu Department,2302
Sacatepéquez Department,4056
San Marcos Department,11796
Santa Rosa Department,2252
Sololá Department,3257
Suchitepéquez Department,4572
Totonicapán Department,2173
Unknown,≤100
Zacapa Department,1763
