Location name,Amount spent (EUR)
Alsace,448
Aquitaine,625
Auvergne,173
Basse-Normandie,219
Bourgogne,243
Bretagne,535
Centre,391
Champagne-Ardenne,196
Corse,≤100
Franche-Comté,159
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,370
Languedoc-Roussillon,570
Limousin,104
Lorraine,543
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,492
New Caledonia,≤100
Nord-Pas-de-Calais,617
Pays de la Loire,665
Picardie,260
Poitou-Charentes,262
Provence-Alpes-Côte d'Azur,1759
Reunion Island,≤100
Rhône-Alpes,1049
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,2215
