Location name,Amount spent (LBP)
Beirut Governorate,3024221
Beqaa Governorate,1088087
Mount Lebanon Governorate,1824513
Nabatieh Governorate,524939
North Governorate,1823010
South Governorate,852852
Unknown,≤100
