Page ID,Page name,Disclaimer,Amount spent (COP),Number of ads in Library
370492339735164,Centro Democrático - Comunidad Oficial,Centro Democrático - Comunidad Oficial,4887257,41
266563730155332,Juan Diego Gomez Jimenez,Juan Diego Gomez Jimenez,3261678,30
103754197881668,Esteban Restrepo,Fredy Esteban Restrepo Taborda,1545370,12
308580499200723,Alcaldía de Medellín,Alcaldia de Medellìn,1375542,13
1059459884138781,Mauricio Tobón Franco.,Mauricio Tobón Franco,1129615,4
1717590668488013,Nuestro País en Crush,Recorre Colombia,935506,18
1115184931884092,Albert Corredor,Albert Corredor,812525,1
162949777243451,Andrés Julián,Andrés Julián Rendon,799807,4
101871502791636,Carlos Acosta Juliao Oficial,Carlos Acosta Juliao Oficial,560010,2
1719725724954043,Rodrigo Rojas Lara,Rodrigo Rojas Lara,511308,2
104351302551385,Camilo Quiroz H,Camilo Quiroz H,468236,5
141361183156268,Juan Carlos Upegui,Juan Carlos Upegui,464222,11
308398253196220,Jorge Andrés,Digital Tech Ideas S.A.S,359212,3
414076942012822,Institución Universitaria Pascual Bravo,Institución Universitaria Pascual Bravo,309905,5
256488875025665,Juan Bocanegra,Juan Carlos Bocanegra Chacón,299551,2
251292808253299,Canadian College,Canadian College,293008,11
462660883763346,Ronald Mayorga,Ronald Mayorga,291203,16
101897976168381,Vamos a crecer,Vamos a crecer,273720,2
478709465506020,Secretaría de Productividad y Competitividad,Secretaría de Productividad y Competitividad,261905,10
1137324852947717,Sandra Hernández,Digital Tech Ideas S.A.S,257437,2
195575853964886,Rodrigo Lara Restrepo,Movimiento Ciudadano Lara por Bogotá,251605,9
61298420594,Eugenio Prieto Soto,Eugenio Prieto Soto,250183,8
503621983303342,Oscar Mauricio Toro,Oscar Mauricio Toro Valencia,240025,154
1259770774053121,Politécnico COHAN - Medellín,Politécnico COHAN - Medellín,234443,4
1586192348316443,Maicol Lopera Cardona,Maicol Lopera,226036,136
1648417351861251,Cristian Mestra,Cristian Mestra,222492,11
827309657396301,Yamit Noe Hurtado,Yamit Noe Hurtado,214792,3
100351841692214,Coronel Jorge Gallego,Coronel Jorge Gallego,201563,7
807500072661945,AsoVape,AsoVape,195339,2
513373825500774,Catalina Ortiz,Catalina Ortiz,194253,4
1618805941666374,Paola Castillo Gutierrez,Paola Castillo,192427,13
336711793710254,Metro de Bogotá,Metro de Bogotá,190833,2
103723022353836,Secretaría de Turismo de Antioquia,Secretaría de Turismo Antioquia,184740,4
53177129367,Dilian Francisca Toro Torres,Dilian Francisca Toro,179915,7
110673818587137,Eicman Murillo,Eicman Murillo,169689,2
497475647076975,Fabian Oviedo,Fabian Oviedo,165671,54
106739310719283,Luis Alejandro Guzmán Lozano,Luis Alejandro Guzmán Lozano,157532,5
108233262091178,David Islem R,David Islem R,157047,2
969143216462972,Felipe Cañizalez,Andreina Quintero Correa,154588,3
360840354678432,MK Team 24 7,Michel Wadih Kafruni Marin,154405,2
1589652347763879,Aquileo Medina A,Aquileo Medina Arteaga,147572,1
175286072898201,Braulio Espinosa Márquez,Braulio Espinosa,147491,2
105848177845789,All Out en español,All Out Action Fund,147427,6
45242794557,Álvaro Uribe Vélez,Centro Democrático,142569,1
247711372067760,Haroletto,Haroletto,136789,2
