Location name,Amount spent (BRL)
Acre (state),328
Alagoas,929
Amapá,339
Amazonas,2484
Bahia,4349
Ceará,4967
Espírito Santo,1710
Federal District,2121
Goiás,3041
Maranhão,2425
Mato Grosso,1761
Mato Grosso do Sul,1709
Minas Gerais,9522
Paraná,6697
Paraíba,1423
Pará,3963
Pernambuco,3936
Piauí,1049
Rio Grande do Norte,1406
Rio Grande do Sul,7225
Rio de Janeiro (state),8645
Rondônia,793
Roraima,218
Santa Catarina,4314
Sergipe,1006
São Paulo (state),26002
Tocantins,583
Unknown,≤100
