Location name,Amount spent (GTQ)
Alta Verapaz Department,421
Baja Verapaz Department,156
Chimaltenango Department,330
Chiquimula Department,254
El Progreso Department,133
Escuintla Department,533
Guatemala Department,6467
Huehuetenango Department,599
Izabal Department,413
Jalapa Department,172
Jutiapa Department,298
Petén Department,277
Quetzaltenango Department,777
Quiché Department,401
Retalhuleu Department,241
Sacatepéquez Department,266
San Marcos Department,1516
Santa Rosa Department,201
Sololá Department,246
Suchitepéquez Department,339
Totonicapán Department,203
Unknown,≤100
Zacapa Department,186
