Location name,Amount spent (SEK)
Blekinge County,3065
Dalarna County,6552
Gotland County,1407
Gävleborg County,6564
Halland County,6393
Jämtland County,2980
Jönköping County,8153
Kalmar County,4647
Kronoberg County,3646
Norrbotten County,6736
Skåne County,32015
Stockholm County,57174
Södermanland County,6290
Unknown,≤100
Uppsala County,9510
Värmland County,5315
Västerbotten County,6730
Västernorrland County,5701
Västmanland County,6732
Västra Götaland County,37387
Örebro County,7180
Östergötland County,10601
