Location name,Amount spent (RON)
Alba County,464
Arad County,709
Argeș County,644
Bacău County,705
Bihor County,648
Bistrița-Năsăud County,1226
Botoșani County,470
Brașov County,640
Brăila County,473
Bucharest,3434
Buzău County,523
Caraș-Severin County,285
Cluj County,1187
Constanța County,1114
Covasna County,239
Călărași County,313
Dolj County,1348
Dâmbovița County,465
Galați County,817
Giurgiu County,212
Gorj County,708
Harghita County,394
Hunedoara County,593
Ialomița County,207
Iași County,1272
Ilfov County,575
Maramureș County,627
Mehedinți County,400
Mureș County,703
Neamț County,565
Olt County,556
Prahova County,829
Satu Mare County,385
Sibiu County,523
Suceava County,721
Sălaj County,279
Teleorman County,283
Timiș County,923
Tulcea County,200
Unknown,≤100
Vaslui County,379
Vrancea County,325
Vâlcea County,772
