Location name,Amount spent (CZK)
Central Bohemian Region,12662
Hradec Králové Region,5506
Karlovy Vary Region,3015
Liberec Region,4010
Moravian-Silesian Region,9756
Olomouc Region,5686
Pardubice Region,4736
Plzeň Region,6383
Prague,25328
South Bohemian Region,5567
South Moravian Region,13435
Unknown,≤100
Vysočina Region,3934
Zlín Region,5156
Ústí nad Labem Region,7534
