Location name,Amount spent (TRY)
Adana Province,841
Adıyaman Province,≤100
Afyonkarahisar Province,128
Aksaray Province,143
Amasya Province,≤100
Ankara Province,1848
Antalya Province,1401
Ardahan Province,≤100
Artvin Province,≤100
Aydın Province,328
Ağrı Province,≤100
Balıkesir Province,332
Bartın Province,≤100
Batman Province,≤100
Bayburt Province,≤100
Bilecik Province,≤100
Bingöl Province,≤100
Bitlis Province,≤100
Bolu Province,≤100
Burdur Province,≤100
Bursa Province,932
Denizli Province,373
Diyarbakır Province,187
Düzce Province,≤100
Edirne Province,≤100
Elazığ Province,≤100
Erzincan Province,740
Erzurum Province,≤100
Eskişehir Province,329
Gaziantep Province,432
Giresun Province,109
Gümüşhane Province,≤100
Hakkâri Province,≤100
Hatay Province,406
Isparta Province,121
Istanbul Province,10993
Iğdır Province,≤100
Kahramanmaraş Province,207
Karabük Province,≤100
Karaman Province,≤100
Kars Province,≤100
Kastamonu Province,164
Kayseri Province,295
Kilis Province,≤100
Kocaeli Province,730
Konya Province,486
Kütahya Province,111
Kırklareli Province,≤100
Kırıkkale Province,≤100
Kırşehir Province,≤100
Malatya Province,510
Manisa Province,345
Mardin Province,102
Mersin Province,617
Muğla Province,315
Muş Province,≤100
Nevşehir Province,≤100
Niğde Province,≤100
Ordu Province,170
Osmaniye Province,143
Rize Province,≤100
Sakarya Province,229
Samsun Province,648
Siirt Province,≤100
Sinop Province,≤100
Sivas Province,≤100
Tekirdağ Province,640
Tokat Province,107
Trabzon Province,159
Tunceli Province,≤100
Unknown,≤100
Uşak Province,116
Van Province,≤100
Yalova Province,≤100
Yozgat Province,≤100
Zonguldak Province,171
Çanakkale Province,318
Çankırı Province,≤100
Çorum Province,≤100
İzmir Province,1387
Şanlıurfa Province,241
Şırnak Province,≤100
