Location name,Amount spent (VEF)
Amazonas,≤100
Anzoátegui,4250000
Apure,637507
Aragua,4842550
Barinas,2500000
Bolívar (state),3500000
Capital District,15500000
Carabobo,7000000
Cojedes,250000
Delta Amacuro,250000
Falcón,1250000
Guárico,1000000
Lara,4750000
Miranda (state),3402535
Monagas,910009
Mérida,1500000
Nueva Esparta,545006
Portuguesa,1000000
Sucre,750000
Trujillo,867509
Táchira,4500000
Unknown,≤100
Vargas,1000000
Yaracuy,1500000
Zulia,9250000
