Page ID,Page name,Disclaimer,Amount spent (HNL),Number of ads in Library
114601521910,Jorge Aldana,Jorge  Aldana,832,1
349524351841734,Cárlenton Dávila,Jose Carlenton Davila Mondragon,813,1
112333800693678,Hugo Noé Pino Diputado F.M,Daniel Andres Casula Salinas,519,1
138816232821931,PNUD en Honduras,PNUD (Programa de las Naciones Unidas  para el Desarrollo),370,3
491553204198958,Revistazo.com,Revistazo.com,348,6
104111364355253,Diario Paradigma,Fredy Ordoñez Flores,261,1
643513979193133,Unidos por Beatriz,Neuma,194,8
107952642129360,Por una Corte Imparcial con Justicia Social,Delmy Saray Caballero Zelaya,165,1
973656702704928,ParadigmaEncuestadora,Fredy Ordoñez Flores,129,1
109580408013707,Francisco Flores,Francisco Miguel Flores Guifarro,≤100,2
486382251906084,Honduras El Pais,Diario El  Pais.hn,≤100,1
1149590921758901,Somos Colmena,These ads ran without a disclaimer,≤100,1
1519747768323108,Edil Mendez,Edil Mendez,≤100,2
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,≤100,1
709160849247917,Evis Santos,Evis Alexander Santos Tabora,≤100,1
1727280190891954,FRANCE 24 Español,These ads ran without a disclaimer,≤100,1
101715608808670,Judgment Day: Angel of God,These ads ran without a disclaimer,≤100,1
112757083778788,"Economic Daily, China",These ads ran without a disclaimer,≤100,1
285530825204,Klitschko,These ads ran without a disclaimer,≤100,3
