Page ID,Page name,Disclaimer,Amount spent (CAD),Number of ads in Library
203652059653094,Government of British Columbia,Government of British Columbia,7002,2
103805636333615,Quality Canadian Milk - Lait canadien de qualité,Dairy Farmers of Canada,5858,37
167800183238142,YourAlberta (Government of Alberta),Government of Alberta,4815,42
16761458703,University of British Columbia,The University of British Columbia,4484,85
113297740077607,Canadian Energy Centre,Canadian Energy Centre,3522,116
104811292976689,SOS violence conjugale,SOS violence conjugale,2458,12
632493333805962,Environment and Climate Change,Environment and Climate Change Canada,2358,15
155609655007428,United Conservative Party of Alberta,United Conservative Party of Alberta,1973,11
112554280322795,Kivalliq Hydro-Fibre Link,Kivalliq Hydro-Fibre Link,1822,7
160136850711053,CUPE Ontario,CUPE Ontario,1708,5
109045051805492,Made The Canadian Way,Canadian Energy Centre,1584,8
163336718421,PSAC - AFPC,PSAC - AFPC,1386,42
115835521825983,UNHCR Canada,UNHCR Canada,1226,118
139019864276,Oxfam Canada,Oxfam Canada,1177,34
230448456985193,Elections Ontario,Elections Ontario,1174,4
1817729271829272,Secrétariat à la condition féminine,Secrétariat à la condition féminine,1027,2
633812813408377,Elections Canada,Elections Canada,863,24
197337921788,Dying With Dignity Canada,Dying With Dignity Canada,823,60
33730130515,Metro Vancouver,Metro Vancouver,813,24
1583430205202800,City of Toronto,City of Toronto - Your Local Government,782,4
167577709932867,Fédération des professionnelles et  professionnels de l'éducation FPPE,Fédération des professionnelles et  professionnels de l'éducation FPPE,779,12
1097840090260804,National Police Federation,National Police Federation,779,101
180862678644381,Ontario NDP,Ontario NDP,739,27
104386908631938,Pathways Alliance,Pathways Alliance,738,4
27321532378,Pierre Poilievre,Conservative Party of Canada - Parti conservateur du Canada,709,2
105168452865235,Bell Aliant,Bell,672,2
1562700347383830,Chef Craig Wong,Ivy Lam,642,5
394745970602999,The Council of Canadians,The Council of Canadians,614,33
105833301076507,CUPE Local 38,CUPE Local 38,603,8
844239722367708,Innovative Medicines Canada / Médicaments novateurs Canada,Innovative Medicines Canada / Médicaments novateurs Canada,601,27
6095483909,Canadian Taxpayers Federation,Canadian Taxpayers Federation,598,46
134147499998111,Ministère de la Sécurité publique du Québec,Ministère de la Sécurité publique,592,6
370233926766473,Environnement et Changement climatique,Environnement et Changement climatique Canada,575,12
5661704203,Conservative Party of Canada - Parti conservateur du Canada,Conservative Party of Canada - Parti conservateur du Canada,567,48
146592973368,Sunnybrook Health Sciences Centre,Sunnybrook Foundation,546,69
625254780822339,CUPE Manitoba,CUPE MB,508,6
186062823629,Québec sans tabac,Conseil québécois sur le tabac et la santé,502,12
11392874217,Québec solidaire,Québec solidaire,490,12
336963316348550,Ucore Rare Metals Inc.,Ucore Rare Metals Inc.,486,1
117926081552324,Équiterre,Équiterre,468,11
163261390365324,Elementary Educators,Elementary Educators,452,20
184856436064,Canadian Centre for Child Protection,Canadian Centre for Child Protection,449,8
106917558391358,Alliance Nouvelles voies,Pathways Alliance,424,2
35715544220,Stand.earth,Stand.earth,415,24
107385241806,Plan International Canada,Plan International Canada,408,100
114849617772737,Care2 Canada,Press Pause Collective,403,20
90032605269,UHN Foundation,UHN Foundation,388,33
127923173900910,Ontario Federation of Agriculture,Ontario Federation of Agriculture,387,28
21751825648,Justin Trudeau,Liberal Party of Canada | Parti libéral du Canada,382,210
1590219921201770,Élections Canada,Élections Canada,377,24
121455674601185,The Manitoba Teachers' Society,The Manitoba Teachers' Society,369,10
27234020592,UNICEF Canada,UNICEF Canada,368,8
184257548280251,Alberta's NDP,Alberta's NDP,356,32
586362242026180,Radio-Canada OHdio,Radio-Canada,345,9
47468265206,BC SPCA (BCSPCA),BC SPCA (BCSPCA),345,1
8843534619,Parti Québécois,Parti Québécois,343,6
190502667652613,Canada’s NDP / Le NPD du Canada,Canada’s NDP / Le NPD du Canada,336,15
19750184960,Greenpeace Canada,Greenpeace Canada,329,167
901776976544599,RBC Wealth Management,RBC Wealth Management,327,4
203485052997041,Hospital Employees' Union,Hospital Employees' Union,323,6
281999881613,World Vision Canada,World Vision Canada,320,10
172424676165115,Canadian Alliance to End Homelessness,Canadian Alliance to End Homelessness,316,18
168617319831578,Nature Canada,Nature Canada,311,2
6319213302,Heart & Stroke,Heart & Stroke,303,40
256967407720183,LEO,Léger,302,32
123235041462,The Fraser Institute,Fraser Institute,302,8
174238299256105,Manitoba Government and General Employees' Union (MGEU),Manitoba Government and General Employees' Union (MGEU),301,9
121681904511500,CMHA National / ACSM National,Canadian Mental Health Association,300,8
181701075182303,Crohn's and Colitis Canada,Crohn's and Colitis Canada,299,37
177741812241442,SCFP-Québec,le SCFP,286,19
338645782840713,"Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs",Ministère de l'Environnement et de la Lutte contre les changements climatiques,284,1
104853517861788,Surrey’s Say on Policing,National Police Federation,272,11
7522587804,Green Party of Ontario,Green Party of Ontario,271,5
113969008665734,Ministère de la Santé et des Services sociaux (MSSS),Ministère de la Santé et Services sociaux,258,7
177681485609462,Radio-Canada,Radio-Canada,258,2
115184254813951,Défi GEStes,Emilie Gallant,257,38
183326331693112,Manitoba Federation of Labour,Manitoba Federation of Labour,254,8
152467601467262,BMO Groupe financier,BMO Financial Group,253,3
116486331729420,350 Canada,350 Canada,246,7
60266912006,Liberal Party of Canada | Parti libéral du Canada,Liberal Party of Canada | Parti libéral du Canada,238,156
222322717930469,Government of New Brunswick,Government of New Brunswick,237,4
103290118198670,Alberta Women's Health Foundation,Alberta Women's Health Foundation,237,10
150435931672156,Élections Québec,Élections Québec,236,10
195608229977,BC NDP,BC NDP,229,10
194782249201,Canadian Association of Petroleum Producers (CAPP),Canadian Association of Petroleum Producers,228,1
182645321760265,Ville de Montréal,Ville de Montréal,221,1
868589909847623,Action Canada for Sexual Health and Rights,Action Canada for Sexual Health and Rights,215,5
52543970197,Environmental Defence Canada,Environmental Defence,211,8
263417217038472,Forest Products Association of Canada,Forest Products Association of Canada,208,11
196322807083503,OECTA - Ontario English Catholic Teachers Association,OECTA - Ontario English Catholic Teachers Association,205,13
465152633548835,Generation Squeeze,Generation Squeeze,204,1
100401029468656,Christopher Baenninger,"Justin Beauregard, agent officiel",193,4
130286616989573,CECI - Centre d'étude et de coopération internationale,CECI - Centre d'étude et de coopération internationale,186,39
264035282685,"Commission des normes, de l'équité, de la santé et de la sécurité du travail","Commission des normes, de l’équité, de la santé et la sécurité du travail",180,2
106360778489053,Fuelling Canada,Canadian Gas Association,180,84
247550302115830,Elections Saskatchewan,Elections Saskatchewan,179,39
386234648495459,Home Care Ontario,Home Care Ontario,178,21
222039741253078,CUPE Saskatchewan,CUPE Saskatchewan,177,14
31912359596,University of Saskatchewan,University of Saskatchewan,172,52
14742445214,BC Green Party,BC Green Party,170,31
26394435211,Canadian Cancer Society,Canadian Cancer Society,165,6
179726942700557,Manitoba Health Coalition - MHC,Manitoba Health Coalition,162,8
136772905237,Historica Canada,Historica Canada,160,2
150508548780741,Aman Singh,BC New Democrat Caucus,158,1
367461053332566,Community-Based Research Centre - CBRC,Community-Based Research Centre,157,13
100999094747422,Land Needs Guardians,Land Needs Guardians,156,4
230448456985193,Elections Ontario,Day Communications,151,1
405377872902754,Canada Action,Canada Action,150,13
115023341897487,BellAliantFR,Bell,147,2
220942375077886,Canada Proud,Canada Proud,146,2
5794733873,David Suzuki Foundation,David Suzuki Foundation,146,24
5777333398,Canada Strong and Free Network,Canada Strong and Free Network,142,30
1391594234280994,"Liquor, Gaming and Cannabis Authority of Manitoba","Liquor, Gaming and Cannabis Authority of Manitoba",142,8
124239144255718,City of Calgary – Your Local Government,City of Calgary – Your Local Government,141,5
152087528169153,CSN,Confédération des syndicats nationaux,128,2
274877362536876,CUPE BC,CUPE BC,124,5
121099651233937,RAVEN,RAVEN Trust,123,3
33532707807,Acfas,Acfas,122,3
925033857594085,SureHealth Canada,SureHealth,119,22
108441375489438,Pete Wiesner,Hamilton Centre PC Riding Association,118,13
100485321825427,Brenda Bailey,BC New Democrat Caucus,116,1
152759126824,Enbridge,Enbridge,115,2
121222984568561,Amnesty International Canada,Amnesty International Canada,114,66
278388139026064,Patrick Brown,Patrick Brown,106,9
106764462731658,Honest Reporting Canada,Honest Reporting Canada,105,5
143878685642858,Canadian Foodgrains Bank,Canadian Foodgrains Bank,104,4
106183171866567,Fairness for Drivers,Fairness for Drivers,104,10
313429995379496,Saskatchewan Union of Nurses,Saskatchewan Union of Nurses,103,9
590117937780756,Oil Sands Action,Canada Action,102,5
123279994379030,Participaction,ParticipACTION,102,6
143249880633,World Animal Protection Canada,World Animal Protection Canada,102,12
652812671407912,Selam Debs,Selam Debs,101,14
111983398876007,The Independent,The Independent,≤100,2
1534982756793690,Foodvisor,These ads ran without a disclaimer,≤100,5
1671097993122619,Children Believe,Children Believe,≤100,25
544846182381424,United Conservative Caucus,United Conservative Party Caucus,≤100,1
132996628184,City of Vancouver - Local Government,City of Vancouver - Local Government,≤100,1
99838903265,CPAWS Manitoba,CPAWS Manitoba,≤100,6
468862456473344,Together We Can - Addiction Recovery & Education Society,Together We Can - Addiction Recovery & Education Society,≤100,2
1522162571382952,Oceana Canada,Oceana Canada,≤100,4
113451888040685,KW Energy Home Services,KW Energy Home Services,≤100,5
233017897569896,Emplois en régions,Emplois en régions,≤100,15
159713615718,WWF-Canada,WWF-Canada,≤100,29
214839395204315,Centre canadien de protection de l'enfance,Canadian Centre for Child Protection,≤100,4
1586726414925187,Ontario Health Coalition,Ontario Health Coalition,≤100,5
105884058088671,Keep Alberta RCMP,National Police Federation,≤100,18
109859832010943,Victor Pelletier - Coalition Avenir Québec,Victor Pelletier - Coalition Avenir Québec,≤100,5
190035081047277,International Fellowship of Christians and Jews of Canada,International Fellowship of Christians and Jews of Canada,≤100,4
638391216643974,CodeBlue BC,CodeBlue BC,≤100,16
2161474537462046,Solar X,Solar X,≤100,1
176256900912,Saskatchewan Party,The Saskatchewan Party,≤100,9
101898551911387,The Hub Canada,Hub Canada Media,≤100,12
200217723858499,"Tony Wakeham, MHA, Stephenville-Port au Port","Tony Wakeham, MHA for Stephenville - Port au Port",≤100,16
156235841087715,FTQ,FTQ,≤100,4
110298731950020,Branden Leslie for Portage-Lisgar,Branden Leslie Campaign,≤100,6
461033487304714,BC Housing,BC Housing,≤100,8
144952302745324,Nuclear Waste Management Organization,the Nuclear Waste Management Organization,≤100,3
8333961820,University of Calgary,University of Calgary,≤100,1
105288666168351,SOS Children's Villages Canada,SOS Children's Villages Canada,≤100,5
254245404682417,C.D. Howe Institute,C.D. Howe Institute,≤100,24
1750529691887719,Portail linguistique du Canada,Bureau de la traduction,≤100,2
259187344111223,Coastal First Nations,Coastal First Nations,≤100,12
339682308115,Metis Nation of Alberta,Metis Nation of Alberta,≤100,8
111755861837453,Eugene Manning,Eugene Manning Campaign,≤100,4
321351607970406,The Narwhal,The Narwhal,≤100,3
106432095003415,Our Nova Scotia RCMP,National Police Federation,≤100,11
109881525350220,Mark Fiselier,Mark Taylor Fiselier,≤100,1
207054872801742,Demetrios Nicolaides,Demetrios Nicolaides,≤100,1
184906186150,The Toronto Star,The Toronto Star,≤100,1
234081660024137,AREQ-CSQ,AREQ-CSQ,≤100,1
453989538009903,Pregnancy Care Canada,Pregnancy Care Canada,≤100,8
109053478784742,The Alberta Retailers Coalition,The Alberta Retailers Coalition,≤100,36
2349053895373277,Kyle Seeback,Dufferin-Caledon Conservative Association,≤100,1
324167227692651,Andrew Mercier,Andrew James Mercier,≤100,1
121818350969,AUPE - Alberta Union of Provincial Employees,Alberta Union of Provincial Employees,≤100,25
269579716411019,Registered Nurses' Union Newfoundland & Labrador,Registered Nurses' Union Newfoundland & Labrador,≤100,103
131250213574677,City of Brandon - Local Government,City of Brandon,≤100,1
127882984614,Manitoba NDP,Manitoba NDP,≤100,4
286355591696672,Hydro One,These ads ran without a disclaimer,≤100,1
333965336775693,Canadian Cattle Association,Canadian Cattle Association,≤100,4
323357211657180,Matt Jones,Matthew Jones,≤100,2
263829137144976,Regulator Watch,Brent Jason Stafford,≤100,1
100212538213540,Kenora-Rainy River Districts Child and Family Services,Kenora-Rainy River Districts Child and Family Services,≤100,2
263547640436466,PC Party of Manitoba,"the Financial Officer, PC Party of Manitoba",≤100,3
542907772458532,Fondation Émergence,Fondation Émergence,≤100,5
