Location name,Amount spent (TWD)
Changhua,11201
Chiayi,17894
Hsinchu,5291
Hsinchu City,8430
Hualien,3537
Kaohsiung,37550
Keelung City,7581
Kinmen,759
Lienchiang,115
Miaoli,5983
Nantou,14239
New Taipei City,64658
Penghu,916
Pingtung,19518
Taichung,42644
Tainan,24867
Taipei,43597
Taitung,2387
Taoyuan City,36374
Unknown,15275
Yilan,4374
Yunlin,16904
