Location name,Amount spent (GTQ)
Alta Verapaz Department,757
Baja Verapaz Department,101
Chimaltenango Department,405
Chiquimula Department,583
El Progreso Department,102
Escuintla Department,416
Guatemala Department,5432
Huehuetenango Department,1214
Izabal Department,261
Jalapa Department,128
Jutiapa Department,192
Petén Department,169
Quetzaltenango Department,729
Quiché Department,770
Retalhuleu Department,167
Sacatepéquez Department,381
San Marcos Department,935
Santa Rosa Department,193
Sololá Department,281
Suchitepéquez Department,810
Totonicapán Department,247
Unknown,≤100
Zacapa Department,146
