Location name,Amount spent (PHP)
Autonomous Region in Muslim Mindanao,641
Bicol Region,10440
Cagayan Valley,3359
Calabarzon,18572
Caraga,1802
Central Luzon,10736
Central Visayas,9152
Cordillera Administrative Region,1429
Davao Region,4014
Eastern Visayas,2925
Ilocos Region,5278
Metro Manila,22710
Mimaropa,2580
Northern Mindanao,4652
Soccsksargen,2998
Unknown,≤100
Western Visayas,8214
Zamboanga Peninsula,2707
