Location name,Amount spent (EGP)
Al Sharqia Governorate,1966
Alexandria Governorate,1461
Aswan Governorate,177
Asyut Governorate,473
Beheira Governorate,921
Beni Suef Governorate,218
Cairo Governorate,5135
Dakahlia Governorate,2161
Damietta Governorate,247
Faiyum Governorate,264
Gharbia Governorate,1454
Giza Governorate,1109
Ismailia Governorate,393
Kafr el-Sheikh Governorate,683
Luxor Governorate,139
Matrouh Governorate,≤100
Minya Governorate,457
Monufia Governorate,1155
New Valley Governorate,≤100
North Sinai Governorate,≤100
Port Said Governorate,297
Qalyubia Governorate,890
Qena Governorate,333
Red Sea Governorate,≤100
Sohag Governorate,524
South Sinai Governorate,≤100
Suez Governorate,105
Unknown,≤100
