Location name,Amount spent (INR)
Andaman and Nicobar Islands,366
Andhra Pradesh,51553
Arunachal Pradesh,2012
Assam,28905
Bihar,85925
Chandigarh,4534
Chhattisgarh,16393
Dadra and Nagar Haveli,1071
Delhi,67252
Goa,3721
Gujarat,69705
Haryana,60649
Himachal Pradesh,15214
Jammu and Kashmir,21699
Jharkhand,21015
Karnataka,134798
Kerala,28388
Lakshadweep,≤100
Madhya Pradesh,63547
Maharashtra,244957
Manipur,3633
Meghalaya,128692
Mizoram,1499
Nagaland,4127
Odisha,22310
Puducherry,2666
Punjab region,45210
Rajasthan,122302
Sikkim,1337
Tamil Nadu,62773
Telangana,50012
Tripura,106692
Unknown,≤100
Uttar Pradesh,237857
Uttarakhand,18189
West Bengal,79629
