Location name,Amount spent (HTG)
Artibonite Department,242
Centre Department,≤100
Grand'Anse Department,≤100
Nippes Department,≤100
Nord Department,152
Nord-Est Department,≤100
Nord-Ouest Department,≤100
Ouest Department,1333
Sud Department,≤100
Sud-Est Department,≤100
