Page ID,Page name,Disclaimer,Amount spent (COP),Number of ads in Library
75884689790,Colectivo de Abogados y Abogadas,Colectivo de Abogados,1764238,3
103754197881668,Esteban Restrepo,Esteban Restrepo,1661756,11
108379099286148,Alcaldía Mayor de Bogotá,Alcaldía Mayor de Bogotá,1605522,20
159514754069267,Partido Cambio Radical,Partido Cambio Radical,1306897,16
348227052718193,Independientes,Independientes,1176667,2
266563730155332,Juan Diego Gomez Jimenez,Juan Diego Gomez Jimenez,901968,10
438113889610097,Hosman Yaith Martínez Moreno,Hosman Yaith Martínez Moreno,871650,127
1431777413774882,Wilson Ruiz Orejuela,Wilson Ruiz Orejuela,833751,4
601336570076276,Rodolfo Correa,Rodolfo Correa,782202,21
191459311042712,Jaime Andrés,Jaime Andrés,770610,23
597006313643580,Gobernación del Valle del Cauca,Gobernación Valle del Cauca,689393,13
1649204585296525,Juan David Valderrama,Juan David Valderrama,655648,19
101071764864119,Dulce Veneno,Dulce Veneno,597835,3
251292808253299,Canadian College,Canadian College,534324,18
287517401455925,Marcela Amaya,Marcela Amaya,527033,4
141361183156268,Juan Carlos Upegui,Juan Carlos Upegui,503208,6
309383129136101,Secretaría Gobierno de Bogotá,Secretaría Gobierno de Bogotá,502485,6
1059459884138781,Mauricio Tobón Franco.,Minuto 30 S.A.S.,492549,1
108233262091178,David Islem R,David Islem R,488068,11
266563730155332,Juan Diego Gomez Jimenez,Get Social,462805,8
1147318942107929,Todos Somos Una,DEBRAIN LLC,456773,16
299469560099835,Alcaldía de Cali,Alcaldía de Cali,455384,10
1589652347763879,Aquileo Medina A,Aquileo Medina A,434162,3
113040851684382,Hugo Díaz Marín,Hugo Díaz Marín,427523,2
619776134722439,Secretaría Distrital de Salud,Secretaría Distrital de Salud,421986,4
105860962029722,Felipe Vélez,Medellín Vuelve a Brillar,356840,11
503621983303342,Oscar Mauricio Toro,Oscar Mauricio Toro,307879,100
112155252163421,Sebastián López V.,Sebastián López V.,301562,5
605236949886245,Ferney Silva Idrobo,Ferney Silva Idrobo,294639,1
294331097680086,Mauricio Mejía Abello,Mauricio Mejía Abello,288731,2
321582221272701,UNIMINUTO,These ads ran without a disclaimer,278730,7
106560399144123,Fans Rodolfo Correa,Vamos con Rodolfo Correa,255108,10
167222580002790,Clara Luz Roldan Gonzalez,Clara Luz Roldán,250641,6
1618805941666374,Paola Castillo Gutierrez,Paola Castillo,247395,9
605236949886245,Ferney Silva Idrobo,Digital Tech Ideas,238996,3
115922544823271,Miyerlandi Torres A,Miyerlandi Torres A,210533,6
116379298034788,Elvira Gutierrez,Elvira Gutierrez,207750,2
2189530951136428,Ricardo Rojas Sáchica,Ricardo Rojas Sáchica,200268,1
590428924681421,Soydiegotamayo,Soydiegotamayo,199708,7
118514924593739,Tanque Seco,Tanque seco,199185,11
101575821423496,Alejo Te Da Un Concejo,Alejo Te Da Un Concejo,193979,15
101272074619776,Palmira Al Instante,Palmira Al Instante,191742,3
316256535073131,Gobernación de Antioquia,Gobernación de Antioquia,191488,6
418155555015037,Germán Escobar Cundinamarca,Germán Escobar Cundinamarca,188609,1
454396071316750,Mauricio Salazar,Mauricio Salazar,184130,3
115075354972407,Miguel Iguaran,getsocial,180054,4
600160263515679,Tecnologías de la Información y las Comunicaciones de Cali,Tecnologías de la Información y las Comunicaciones de Cali,179731,3
377334062304350,Secretaría de Educación de Bogotá,Secretaría de Educación de Bogotá,174990,8
110260770340343,Leonardo Jácome,Leonardo Jácome,173870,3
100351841692214,Coronel Jorge Gallego,Coronel Jorge Gallego,168562,3
151237191625066,Henry Gutiérrez Angel,Henry Gutiérrez Angel,164425,10
189499891648602,Camilo Rubiano,Camilo Rubiano,160674,7
100397975380528,Amigos de Dumek,Amigos de Dumek,149196,3
2156874387878167,Yilber Leandro Saavedra,Yilber Leandro Saavedra,147769,4
2369166386675873,Alcalde Mauricio Rendón,Mauricio Rendón,145665,31
257836801820119,Fernando Valencia Vallejo,Fernando Valencia Vallejo,143893,4
105788042199348,James Urrego,James Urrego,138360,8
1622001728047397,Harman Alcalde,Harman Alcalde,137713,24
101642839569704,Javier Marulanda,Dr Javier Marulanda,135220,10
1259770774053121,Politécnico COHAN - Medellín,Politécnico COHAN - Medellín,134307,1
110669656955035,Roger Toro,Roger Toro,132894,11
286568181368830,Jhon Ortega,Jhon Ortega,124218,9
201014753267112,Andrés Fernando Mesa Valencia,Andrés Fernando Mesa Valencia,115289,2
132840983520233,Gobernación del Atlántico,Gobernación del Atlántico,114451,1
341743792688909,Centro de Ciencia y Tecnología de Antioquia,Centro de Ciencia y Tecnología de Antioquia,109276,7
305443930185737,Juan Pérez,Juan Pérez,107723,20
629265973883892,Alcaldía de La Estrella,Alcaldía de La Estrella,106498,7
336711793710254,Metro de Bogotá,Metro de Bogotá,105192,1
103322192472349,Camilo Nemocón,Camilo Nemocón,104308,6
1719725724954043,Rodrigo Rojas Lara,Rodrigo Rojas Lara,103162,2
489327244878254,Carlos Parra,Carlos Parra,99645,2
116430736811606,Ever Villegas,Ever Villegas,99434,12
105848177845789,All Out en español,All Out Action Fund,97355,9
100132752831088,Natalia López Fuentes,Natalia López Fuentes,96819,1
121669444208502,Sergio Flechas,Sergio Flechas,95485,4
1488419784774409,Alcaldía de Soledad,Alcaldía Municipal de Soledad,92915,15
504307236411761,Lucas Cañas,Lucas Cañas,92719,3
108675595132967,Karol Martínez Silva,Karol Martínez Silva,89655,3
1643303432550207,Gustavo Vélez,Gustavo Vélez,88356,18
108077528892290,Andrés Zamora Rovira,Space Marketing,85975,3
116675204673861,Movimiento Ciudadano Arriba Cartagena,Movimiento Ciudadano Arriba Cartagena,85464,1
375186133339469,Santiago Fandiño,Santiago Fandiño,84632,2
838927469815494,Diana Diago,Diana Diago,82529,8
100475532513857,Cristian Halaby,Cristian Halaby,80946,7
513373825500774,Catalina Ortiz,Catalina Ortiz,80523,14
100862467976065,Andrés Fandiño,Andrés Fandiño,80382,6
101337536877032,William Garcia Tirado,William Garcia Tirado,79728,3
310132332808120,Hector Javier Osorio Botello,Hector Javier Osorio Botello,79479,4
112520635093332,Memes Politicos Cartago,Memes Politicos Cartago,77146,2
104628303208123,Clínica Imbanaco,Clínica Imbanaco,76881,2
193261550699,Cundinamarca Política,Cundinamarca Política,75676,1
110036132129269,Alerta Noticias,Alerta Noticias,74909,8
112602178102955,Victorioso,Victorioso,72475,1
348250701862191,Guillermo Velandia Granados,Guillermo Velandia Granados,72455,4
2449859871917842,Jeison Janna - Concejo,Jeison Janna - Concejo,69018,3
123469995988185,Jhonatan Cano,Jhonatan Cano,67589,3
111304927281472,"Alcaldía Almaguer Cauca ""Continuemos Juntos""","Alcaldía Almaguer Cauca ""Continuemos Juntos""",67479,3
278650425592966,Betty Zorro A,Betty Zorro A,66824,5
104046148916576,Patricia de Hernandez,Patricia de Hernandez,66791,8
910025949090028,César Rojas Ayala,César Rojas Ayala,63770,3
370267297019304,Marco Hincapié,Marco Hincapié,63346,3
104313676026273,Luis Carlos Guevara Montilla,Agencia de Publicidad del Putumayo,63078,15
340279913230650,Elias Maida Maida,These ads ran without a disclaimer,62945,1
121276654241307,Jorge Eduardo Rojas,Jorge Eduardo Rojas,62616,2
387538598655755,Jorge Luis Reyes,Jorge Luis Reyes,62492,1
232997226734217,Julian Espinosa,Julian Espinosa,60292,1
107630602393621,Hora de Justicia,Horadejusticia,59923,7
