Location name,Amount spent (PKR)
Azad Kashmir,14480
Balochistan,1360
Federally Administered Tribal Areas,122
Gilgit-Baltistan,269
Islamabad Capital Territory,1046
Khyber Pakhtunkhwa,5495
Punjab,18625
Sindh,4704
Unknown,≤100
