Page ID,Page name,Disclaimer,Amount spent (DKK),Number of ads in Library
101875098313543,Andel,Andel,10744,17
65929129383,Røde Kors,Røde Kors,6426,38
38507331439,Danmarks Naturfredningsforening,Danmarks Naturfredningsforening,6356,26
26458152911,SOS Børnebyerne,SOS Børnebyerne,4921,26
304554445813,Videncentret Bolius,Videncentret Bolius,4526,27
599763040213164,Radius Elnet,Radius Elnet,3682,2
399210657232918,PlanBørnefonden,PlanBørnefonden,3424,16
12860228293,Politiken,Politiken,3058,23
748887235210811,Obton Forvaltning A/S,Obton A/S,2532,16
167891603415958,Lederne,Lederne,2508,9
5624899398,Mellemfolkeligt Samvirke,Mellemfolkeligt Samvirke,2314,42
116227401722605,Dansk Flygtningehjælp,Dansk Flygtningehjælp,2213,33
59143726810,Psykiatrifonden,Psykiatrifonden,2200,4
104544224264943,3F Transport,3F Transport,2095,3
276770505228,Folkekirkens Nødhjælp,Folkekirkens Nødhjælp,2017,6
155596147784577,WWF Verdensnaturfonden,WWF Verdensnaturfonden,1902,22
167887506877,AIDS-Fondet,AIDS-Fondet,1895,17
12787473132,Berlingske,Berlingske,1850,18
153151900930,Ungdommens Røde Kors,Ungdommens Røde Kors,1512,3
55365680705,Greenpeace Danmark,Greenpeace Danmark,1439,11
867877683280051,Weekendavisen,Weekendavisen,1328,35
123653695693986,Motatos Danmark,Motatos,1127,12
72672361910,Børns Vilkår,Børns Vilkår,1091,11
100423681446198,Virksomhedsguiden,Erhvervsstyrelsen,1040,27
102154048301476,Lederstof.dk,Lederne,980,26
126543540781090,Ældre Sagen,Ældre Sagen,937,12
442403485851495,Morten Helveg Petersen,Morten Helveg Petersen,929,1
142641498926,Fairtrade-mærket Danmark,Fairtrade Danmark,900,47
182121298931589,Odense Kommune,Odense Kommune,881,6
250994288337708,Sex og Samfund,Sex og Samfund,834,5
276145368333,Bedre Psykiatri - Landsforeningen for pårørende,Bedre Psykiatri - Landsforeningen for pårørende,810,20
304554445813,Videncentret Bolius,Bolius,723,3
23488866416,Ateistisk Selskab,Ateistisk Selskab,707,36
657491824390744,Spring Copenhagen,Spring Copenhagen,693,10
337166195327,BRYD TAVSHEDEN,BRYD TAVSHEDEN,680,20
109012749124622,3F - Gør dig stærkere.,3F - Danmarks Stærkeste Fagforening,676,9
130388840342741,Danske Bank,Danske Bank,666,5
202627126417910,TAXA 4x35,Sammenslutningen Taxa 4x35,658,19
