Location name,Amount spent (COP)
Amazonas,2542
Antioquia,12514770
Arauca,19262
Atlantico,1937501
Bolivar,242739
Boyaca,318103
Caldas,574723
Caqueta,66425
Casanare,103240
Cauca,347000
Cesar,705731
Choco,72986
Cordoba,622265
Cundinamarca,785300
Distrito Especial,3333492
Guainia,6509
Guaviare,18255
Huila,515791
La Guajira,43056
Magdalena,594795
Meta,303640
Narino,85628
Norte de Santander,854096
Putumayo,121305
Quindio,92896
Risaralda,848599
San Andres y Providencia,6775
Santander,1928503
Sucre,734798
Tolima,430636
Unknown,193
Valle del Cauca,4374448
Vaupes,359
Vichada,1455
