Location name,Amount spent (KES)
Central Province,305
Coast Province,103
Eastern Province,≤100
Nairobi,1923
North Eastern Province,≤100
Nyanza Province,≤100
Rift Valley Province,384
Unknown,≤100
Western Province,≤100
