Location name,Amount spent (VND)
An Giang Province,10754
Bà Rịa–Vũng Tàu Province,24174
Bình Dương Province,76642
Bình Phước Province,5312
Bình Thuận Province,11468
Bình Định Province,26081
Bạc Liêu Province,2689
Bắc Giang Province,47446
Bắc Kạn Province,5162
Bắc Ninh Province,47343
Bến Tre Province,5663
Cao Bằng Province,34859
Cà Mau Province,4500
Cần Thơ,12272
Da Nang,24209
Gia Lai Province,7671
Haiphong,53854
Ho Chi Minh City,1456134
Hà Giang Province,12555
Hà Nam Province,18148
Hà Tĩnh Province,12143
Hòa Bình Province,15419
Hưng Yên Province,20398
Hải Dương Province,47553
Hậu Giang Province,3265
Khánh Hòa Province,15294
Kiên Giang Province,9516
Kon Tum Province,2159
Lai Châu Province,4249
Long An Province,22378
Lào Cai Province,15326
Lâm Đồng Province,9248
Lạng Sơn Province,14704
Nam Định Province,31633
Nghệ An Province,76450
Ninh Bình Province,21792
Ninh Thuận Province,3433
Phú Thọ Province,33281
Phú Yên Province,4440
Quảng Bình Province,5231
Quảng Nam Province,9956
Quảng Ngãi Province,7758
Quảng Ninh Province,33628
Quảng Trị Province,4937
Sóc Trăng Province,4152
Sơn La Province,19390
Thanh Hóa Province,24987
Thái Bình Province,41473
Thái Nguyên Province,65279
Thừa Thiên–Huế Province,9177
Tiền Giang Province,11834
Trà Vinh Province,3782
Tuyên Quang Province,15518
Tây Ninh Province,7187
Vĩnh Long Province,5439
Vĩnh Phúc Province,24463
Yên Bái Province,42113
Điện Biên Province,18317
Đắk Lắk Province,10780
Đắk Nông Province,3297
Đồng Nai Province,136408
Đồng Tháp Province,7764
