Location name,Amount spent (PEN)
Amazonas Region,≤100
Ancash Region,≤100
Apurímac Region,≤100
Arequipa Region,126
Ayacucho Region,≤100
Cajamarca Region,118
Callao,≤100
Cusco Region,114
Huancavelica Region,≤100
Huánuco Region,≤100
Ica Region,≤100
Junín Region,155
La Libertad Region,149
Lambayeque Region,169
Lima Region,902
Loreto Region,≤100
Madre de Dios Region,≤100
Moquegua Region,≤100
Pasco Region,≤100
Piura Region,136
Puno Region,115
San Martín Region,≤100
Tacna Region,≤100
Tumbes Region,≤100
Ucayali Region,≤100
Unknown,≤100
