Location name,Amount spent (DKK)
Capital Region of Denmark,61465
Central Denmark Region,37264
Faroe Islands,≤100
Greenland,101
North Denmark Region,14960
Region of Southern Denmark,31015
Unknown,≤100
Zealand Region,22083
