Location name,Amount spent (CLP)
Antofagasta Region,80503
Araucanía Region,68496
Arica y Parinacota Region,36282
Atacama Region,28063
Aysén Region,20581
Bío Bío Region,159555
Coquimbo Region,115883
Los Lagos Region,73906
Los Ríos Region,15364
Magallanes y la Antártica Chilena Region,9498
Maule Region,40861
O'Higgins Region,83998
Santiago Metropolitan Region,779783
Tarapacá Region,42291
Unknown,172
Valparaíso Region,102263
