Location name,Amount spent (GTQ)
Alta Verapaz Department,444
Baja Verapaz Department,109
Chimaltenango Department,215
Chiquimula Department,247
El Progreso Department,122
Escuintla Department,389
Guatemala Department,6739
Huehuetenango Department,439
Izabal Department,358
Jalapa Department,146
Jutiapa Department,256
Petén Department,244
Quetzaltenango Department,464
Quiché Department,265
Retalhuleu Department,145
Sacatepéquez Department,217
San Marcos Department,871
Santa Rosa Department,171
Sololá Department,164
Suchitepéquez Department,232
Totonicapán Department,126
Unknown,≤100
Zacapa Department,178
