Location name,Amount spent (AUD)
Australian Capital Territory,1268
Jervis Bay Territory,≤100
New South Wales,17029
Norfolk Island,≤100
Northern Territory,520
Queensland,13666
South Australia,5174
Tasmania,2073
Unknown,≤100
Victoria,15003
Western Australia,8035
