Location name,Amount spent (NOK)
Akershus,3110
Aust-Agder,547
Buskerud,1279
Finnmark,365
Hedmark,868
Hordaland,3372
Møre og Romsdal,2162
Nord-Trøndelag,612
Nordland,1141
Oppland,822
Oslo,6058
Rogaland,2592
Sogn og Fjordane,490
Svalbard and Jan Mayen,≤100
Sør-Trøndelag,1529
Telemark,1327
Troms,928
Unknown,≤100
Vest-Agder,1029
Vestfold,2000
Østfold,1379
