Location name,Amount spent (CLP)
Antofagasta Region,71104
Araucanía Region,86393
Arica y Parinacota Region,45479
Atacama Region,33905
Aysén Region,14188
Bío Bío Region,191733
Coquimbo Region,130290
Los Lagos Region,63209
Los Ríos Region,18606
Magallanes y la Antártica Chilena Region,10948
Maule Region,53078
O'Higgins Region,81729
Santiago Metropolitan Region,919408
Tarapacá Region,39217
Unknown,343
Valparaíso Region,177508
