Location name,Amount spent (USD)
Akmola Region,1007
Aktobe Region,333
Almaty Region,595
Atyrau Region,260
East Kazakhstan Region,498
Jambyl Region,231
Karaganda Region,207
Kostanay Region,154
Kyzylorda Region,207
Mangystau Region,207
North Kazakhstan Region,268
Pavlodar Region,225
South Kazakhstan Region,274
Unknown,≤100
West Kazakhstan Region,242
