Location name,Amount spent (THB)
Amnat Charoen,≤100
Ang Thong,≤100
Ayutthaya,349
Bangkok,6043
Bueng Kan,≤100
Buriram,383
Chachoengsao,269
Chai Nat,≤100
Chaiyaphum,275
Chanthaburi,197
Chiang Mai,845
Chiang Rai,322
Chon Buri,858
Chumphon,202
Kalasin,191
Kamphaeng Phet,747
Kanchanaburi,245
Khon Kaen,624
Krabi,216
Lampang,235
Lamphun,125
Loei,200
Lop Buri,228
Mae Hong Son,≤100
Maha Sarakham,252
Mukdahan,107
Nakhon Nayok,≤100
Nakhon Pathom,267
Nakhon Phanom,159
Nakhon Ratchasima,911
Nakhon Sawan,273
Nakhon Si Thammarat,554
Nan,145
Narathiwat,198
Nong Bua Lam Phu,110
Nong Khai,137
Nonthaburi,521
Pathum Thani,379
Pattani,229
Phangnga,127
Phatthalung,167
Phayao,≤100
Phetchabun,222
Phetchaburi,183
Phichit,150
Phitsanulok,260
Phrae,129
Phuket,299
Prachin Buri,191
Prachuap Khiri Khan,167
Ranong,≤100
Ratchaburi,263
Rayong,396
Roi Et,253
Sa Kaeo,156
Sakon Nakhon,276
Samut Prakan,267
Samut Sakhon,202
Samut Songkhram,≤100
Saraburi,230
Satun,123
Sing Buri,≤100
Sisaket,654
Songkhla,720
Sukhothai,201
Suphan Buri,246
Surat Thani,426
Surin,338
Tak,165
Trang,214
Trat,≤100
Ubon Ratchathani,521
Udon Thani,370
Unknown,≤100
Uthai Thani,≤100
Uttaradit,124
Yala Province,201
Yasothon,129
