Page ID,Page name,Disclaimer,Amount spent (ARS),Number of ads in Library
130929705668,Municipalidad de Córdoba,Municipalidad de Córdoba,1449053,66
301506776559902,Gobierno de Córdoba,Gobierno de Córdoba,246412,54
525334380868858,Martín Lousteau,Martín Lousteau,186505,24
391699984932525,Pablo Cervi,Juntos por el Cambio Neuquén,176311,8
233792609964941,Municipio de Esteban Echeverría,Municipio de Esteban Echeverría,140105,7
369199359904207,Municipalidad de Tres de Febrero,Municipalidad de Tres de Febrero,102661,60
256803881073240,Gobierno de Salta,Gobierno de Salta,80012,5
363825283650115,Vicente López,Vicente López,76403,15
113122186717848,Emiliano Estrada,Emiliano Estrada,70442,11
101185599412309,Marcos para Neuquén,Marcos para Neuquen,65992,15
135948233146402,Municipio de Lomas de Zamora,Municipalidad de Lomas de Zamora,60270,3
429298067264790,Sergio Ziliotto,Partido Justicialista Distrito La Pampa,54176,18
103088924366000,Noticias d,Noticias d,52227,251
2296112127071539,Feedback encuestas,Feedback Encuestas Online,43728,72
289594974509402,Senado BA,Senado BA,39983,16
367089004808,Amnistía Internacional Argentina,Amnistía Internacional Argentina,39737,30
112200072188893,Eduardo Cáceres,Eduardo Cáceres,38652,12
1662250880709156,Lanús Municipio,Lanús Municipio,35428,8
2438220102914670,Juan Pelaez,Juan Pelaez,35382,12
174876119204869,Martín Insaurralde,Frente de Todos Lomas,35250,2
109423227543495,Carlos Banacloy,Carlos Banacloy,32530,5
680986725302906,Roberto Mirabella,Hacemos Santa Fe,32425,6
265087123863574,Ministerio de Gobierno y Seguridad de la Provincia de Córdoba,Gobierno de Córdoba,32171,2
105933872199149,Mística,Mística,31970,3
924253577657013,Gobierno de Tierra del Fuego AIAS,Gobierno de Tierra del Fuego,31851,85
1536637056372173,InfoData35,Info Data 35,29345,1
429668923837600,Unidad Popular Río Negro,Unidad Popular Río Negro,29291,6
171330806277312,Diego Santilli,Instituto República,28161,40
307661541236,Grupo La Provincia,GLP,26866,77
155326881225340,Cristian Ritondo,Hablen de a uno,26609,6
1275311129309933,Marcos Koopmann,Marcos Koopmann,25453,46
862393870465260,Fabian Martin,Fabian Martin Intendente,25049,4
104135655737522,El Mate Amargo,El Mate Amargo,24826,8
108146311912164,Laburen Ladris,www.laburenladris.com,23639,22
113138195384719,Nestor Grindetti,Nestor Grindetti,22943,9
113781658634572,Gustavo Sáenz,Gustavo Sáenz,22565,6
105434454484182,Difusión de Prensa Argentina,Difusión de Prensa Argentina,22061,15
101321286190410,Avancemos Salta,Avancemos Salta,21833,5
317140548314140,San Fernando Municipio,San Fernando Municipio,21686,4
