Location name,Amount spent (IDR)
Aceh,3386383
Bali,3024699
Bangka–Belitung Islands,444472
Banten,4217312
Bengkulu,776075
Central Java,19820538
Central Kalimantan,871361
Central Sulawesi,2349814
East Java,19962678
East Kalimantan,2734378
East Nusa Tenggara,4901159
Gorontalo,2136114
Jakarta,22509478
Jambi,2397459
Lampung,4813942
Maluku,1826372
North Kalimantan,636752
North Maluku,506149
North Sulawesi,3146609
North Sumatra,7890876
Papua (province),825834
Riau,2452218
Riau Islands Province,1010947
South Kalimantan,2207666
South Sulawesi,7162676
South Sumatra,5216211
Southeast Sulawesi,2216534
Special Region of Yogyakarta,3583402
Unknown,11942
West Java,21161835
West Kalimantan,2755527
West Nusa Tenggara,3696063
West Papua,412555
West Sulawesi,539430
West Sumatra,2823671
