Location name,Amount spent (UYU)
Artigas Department,≤100
Canelones Department,307
Cerro Largo Department,121
Colonia Department,141
Durazno Department,≤100
Flores Department,≤100
Florida Department,≤100
Lavalleja Department,≤100
Maldonado Department,226
Montevideo Department,1141
Paysandú Department,1250
Rivera Department,311
Rocha Department,≤100
Río Negro Department,≤100
Salto Department,117
San José Department,≤100
Soriano Department,≤100
Tacuarembó Department,109
Treinta y Tres Department,≤100
Unknown,≤100
