Location name,Amount spent (AUD)
Australian Capital Territory,1489
Jervis Bay Territory,≤100
New South Wales,158639
Norfolk Island,≤100
Northern Territory,326
Queensland,10971
South Australia,4362
Tasmania,1303
Unknown,≤100
Victoria,21383
Western Australia,6945
