Location name,Amount spent (PYG)
Alto Paraguay Department,25076
Alto Paraná Department,2108778
Amambay Department,238182
Asunción,2201590
Boquerón department,114178
Caaguazú Department,908594
Caazapá Department,190226
Canindeyú Department,184195
Central Department,7450440
Concepción Department (Paraguay),249835
Cordillera Department,539808
Guairá Department,291217
Itapúa Department,906596
Misiones Department,187539
Paraguarí Department,191789
Presidente Hayes Department,248305
San Pedro Department,321478
Unknown,615
Ñeembucú Department,94956
