Location name,Amount spent (CHF)
Aargau,157
Appenzell Ausserrhoden,≤100
Appenzell Innerrhoden,≤100
Basel-City,114
Basel-Landschaft,≤100
Bern,276
Canton of Geneva,252
Canton of Glarus,≤100
Canton of Nidwalden,≤100
Canton of Obwalden,≤100
Canton of St. Gallen,106
Fribourg,114
Graubünden,≤100
Jura,≤100
Luzern,≤100
Neuchâtel,≤100
Schaffhausen,≤100
Schwyz,≤100
Solothurn,≤100
Thurgau,≤100
Ticino,125
Unknown,≤100
Uri,≤100
Valais,145
Vaud,277
Zug,≤100
Zürich,538
